decoder,n_iterations,level,error_weight,r_bits,n_failures,n_tests,dfr,dec_id
BGF,2,1,134,9501,499974,500000,0.999948,BGF2
BGF,2,1,134,9601,499552,500000,0.999104,BGF2
BGF,2,1,134,9701,495919,500000,0.991838,BGF2
BGF,2,1,134,9801,476259,500000,0.952518,BGF2
BGF,2,1,134,9901,426806,500000,0.853612,BGF2
BGF,2,1,134,10001,354329,500000,0.708658,BGF2
BGF,2,1,134,10101,557129,1000000,0.557129,BGF2
BGF,2,1,134,10201,439009,1000000,0.439009,BGF2
BGF,2,1,134,10301,376324,1000000,0.376324,BGF2
BGF,2,1,134,10401,3601,10000,0.3601,BGF2
BGF,2,1,134,10501,3399,10000,0.3399,BGF2
BGF,2,1,134,10601,3098,10000,0.3098,BGF2
BGF,2,1,134,10701,2915,10000,0.2915,BGF2
BGF,2,1,134,10801,3075,10000,0.3075,BGF2
BGF,2,1,134,10901,3226,10000,0.3226,BGF2
BGF,2,1,134,11001,3326,10000,0.3326,BGF2
BGF,2,1,134,11001,3326,10000,0.3326,BGF2
BGF,2,1,134,11101,3180,10000,0.318,BGF2
BGF,2,1,134,11201,3112,10000,0.3112,BGF2
BGF,2,1,134,11301,3078,10000,0.3078,BGF2
BGF,2,1,134,11401,3076,10000,0.3076,BGF2
BGF,2,1,134,11501,3329,10000,0.3329,BGF2
BGF,2,1,134,11601,3295,10000,0.3295,BGF2
BGF,2,1,134,11701,3185,10000,0.3185,BGF2
BGF,2,1,134,11801,3006,10000,0.3006,BGF2
BGF,2,1,134,11901,3071,10000,0.3071,BGF2
BGF,2,1,134,12001,3059,10000,0.3059,BGF2
BGF,3,1,134,9501,492560,500000,0.98512,BGF3
BGF,3,1,134,9601,453099,500000,0.906198,BGF3
BGF,3,1,134,9701,339853,500000,0.679706,BGF3
BGF,3,1,134,9801,162623,500000,0.325246,BGF3
BGF,3,1,134,9901,43744,500000,0.087488,BGF3
BGF,3,1,134,10001,7300,500000,0.0146,BGF3
BGF,3,1,134,10101,1945,1000000,0.001945,BGF3
BGF,3,1,134,10201,1255,5000000,0.000251,BGF3
BGF,3,1,134,10251,497,5000000,9.94e-05,BGF3
BGF,3,1,134,10301,431,10000000,4.31e-05,BGF3
BGF,3,1,134,10351,226,10000000,2.26e-05,BGF3
BGF,3,1,134,10401,107,10000000,1.07e-05
BGF,3,1,134,10451,45,10000000,4.5e-06
BGF,3,1,134,10501,24,10000000,2.4e-06
BGF,3,1,134,10551,18,10000000,1.8e-06
BGF,3,1,134,10601,9,10000000,9e-07
BGF,3,1,134,10651,4,10000000,4e-07
BGF,4,1,134,9501,484429,500000,0.968858,BGF4
BGF,4,1,134,9601,407078,500000,0.814156,BGF4
BGF,4,1,134,9701,227520,500000,0.45504,BGF4
BGF,4,1,134,9801,58776,500000,0.117552,BGF4
BGF,4,1,134,9901,6641,500000,0.013282,BGF4
BGF,4,1,134,10001,4399,5000000,0.0008798,BGF4
BGF,4,1,134,10051,1025,5000000,0.000205,BGF4
BGF,4,1,134,10101,2426,50000000,4.852e-05
BGF,4,1,134,10151,522,50000000,1.044e-05
BGF,4,1,134,10201,102,50000000,2.04e-06
BGF,4,1,134,10251,54,100000000,5.4e-07
BGF,4,1,134,10301,2,38393700,5.20919e-08
BGF,5,1,134,9501,478421,500000,0.956842,BGF5
BGF,5,1,134,9601,370776,500000,0.741552,BGF5
BGF,5,1,134,9701,166856,500000,0.333712,BGF5
BGF,5,1,134,9801,30278,500000,0.060556,BGF5
BGF,5,1,134,9901,2284,500000,0.004568,BGF5
BGF,5,1,134,10001,10123,50000000,0.00020246,BGF5
BGF,5,1,134,10051,1988,50000000,3.976e-05,BGF5
BGF,5,1,134,10101,390,50000000,7.8e-06,BGF5
BGF,5,1,134,10151,59,50000000,1.18e-06,BGF5
